"","reference_contig","position","variable","value"
"1329","KC677633",974,"FET_2.5",1.255
"1330","KC677633",981,"FET_2.5",1.009
"1331","KC677633",1009,"FET_2.5",1.196
"1332","KC677633",1023,"FET_2.5",0
"1333","KC677633",1073,"FET_2.5",1.672
"1334","KC677633",1115,"FET_2.5",1.672
"1335","KC677633",1195,"FET_2.5",0.491
"1336","KC677633",1214,"FET_2.5",0.7
"1337","KC677633",1227,"FET_2.5",0.716
"1338","KC677633",1228,"FET_2.5",0.731
"1339","KC677633",1364,"FET_2.5",0.501
"1340","KC677633",1374,"FET_2.5",3.549
"1341","KC677633",1383,"FET_2.5",0
"1342","KC677633",1416,"FET_2.5",4.109
"1343","KC677633",1423,"FET_2.5",0
"1344","KC677633",1430,"FET_2.5",2.555
"1345","KC677633",1443,"FET_2.5",0
"1346","KC677633",1466,"FET_2.5",0.277
"1347","KC677633",1492,"FET_2.5",0.447
"1348","KC677633",1498,"FET_2.5",0
"1349","KC677633",1512,"FET_2.5",4.28
"1350","KC677633",1517,"FET_2.5",0
"1351","KC677633",1520,"FET_2.5",2.572
"1352","KC677633",1544,"FET_2.5",0
"1353","KC677633",1545,"FET_2.5",2.164
"1354","KC677633",1551,"FET_2.5",0
"1355","KC677633",1590,"FET_2.5",2.957
"1356","KC677633",1604,"FET_2.5",2.533
"1357","KC677633",1616,"FET_2.5",0
"1358","KC677633",1624,"FET_2.5",0
"1359","KC677633",1635,"FET_2.5",0
"1360","KC677633",1694,"FET_2.5",0
"1361","KC677633",1700,"FET_2.5",0
"1362","KC677633",1701,"FET_2.5",3.712
"1363","KC677633",1756,"FET_2.5",0
"1364","KC677633",1757,"FET_2.5",0.397
"1365","KC677633",1761,"FET_2.5",3.52
"1366","KC677633",1901,"FET_2.5",0
"1367","KC677634",88,"FET_2.5",0
"1368","KC677634",102,"FET_2.5",0.43
"1369","KC677634",122,"FET_2.5",2.382
"1370","KC677634",216,"FET_2.5",0
"1371","KC677634",234,"FET_2.5",0.489
"1372","KC677634",236,"FET_2.5",0
"1373","KC677634",256,"FET_2.5",0
"1374","KC677634",298,"FET_2.5",0
"1375","KC677634",325,"FET_2.5",0
"1376","KC677634",345,"FET_2.5",4.554
"1377","KC677634",361,"FET_2.5",0
"1378","KC677634",366,"FET_2.5",0
"1379","KC677634",369,"FET_2.5",0
"1380","KC677634",394,"FET_2.5",1.825
"1381","KC677634",400,"FET_2.5",0.371
"1382","KC677634",405,"FET_2.5",0
"1383","KC677634",412,"FET_2.5",1.93
"1384","KC677634",429,"FET_2.5",0.771
"1385","KC677634",443,"FET_2.5",0
"1386","KC677634",459,"FET_2.5",0
"1387","KC677634",460,"FET_2.5",0
"1388","KC677634",491,"FET_2.5",0
"1389","KC677634",512,"FET_2.5",0
"1390","KC677634",527,"FET_2.5",0
"1391","KC677634",535,"FET_2.5",0
"1392","KC677634",561,"FET_2.5",0
"1393","KC677634",565,"FET_2.5",0
"1394","KC677634",571,"FET_2.5",1.1
"1395","KC677634",590,"FET_2.5",0.39
"1396","KC677634",613,"FET_2.5",1.497
"1397","KC677634",695,"FET_2.5",0
"1398","KC677634",714,"FET_2.5",1.617
"1399","KC677634",715,"FET_2.5",0
"1400","KC677634",718,"FET_2.5",0
"1401","KC677634",722,"FET_2.5",0
"1402","KC677634",727,"FET_2.5",0
"1403","KC677634",739,"FET_2.5",0
"1404","KC677634",747,"FET_2.5",0.834
"1405","KC677634",768,"FET_2.5",0.275
"1406","KC677634",780,"FET_2.5",2.807
"1407","KC677635",79,"FET_2.5",0
"1408","KC677635",117,"FET_2.5",16.52
"1409","KC677635",179,"FET_2.5",20.1
"1410","KC677635",266,"FET_2.5",15.82
"1411","KC677635",268,"FET_2.5",18.49
"1412","KC677635",301,"FET_2.5",0
"1413","KC677635",374,"FET_2.5",13.11
"1414","KC677635",438,"FET_2.5",0.265
"1415","KC677635",452,"FET_2.5",11.67
"1416","KC677635",488,"FET_2.5",9.939
"1417","KC677635",538,"FET_2.5",7.043
"1418","KC677635",556,"FET_2.5",5.56
"1419","KC677635",575,"FET_2.5",0
"1420","KC677635",607,"FET_2.5",15.37
"1421","KC677635",641,"FET_2.5",0.275
"1422","KC677635",642,"FET_2.5",0.273
"1423","KC677635",644,"FET_2.5",6.951
"1424","KC677635",715,"FET_2.5",12.81
"1425","KC677635",731,"FET_2.5",8.96
"1426","KC677635",732,"FET_2.5",7.622
"1427","KC677635",747,"FET_2.5",0
"1428","KC677635",787,"FET_2.5",0
"1429","KC677635",805,"FET_2.5",1.208
"1430","KC677635",822,"FET_2.5",7.963
"1431","KC677635",831,"FET_2.5",3.232
"1432","KC677635",880,"FET_2.5",2.915
"1433","KC677635",919,"FET_2.5",14.38
"1434","KC677635",940,"FET_2.5",10.79
"1435","KC677635",956,"FET_2.5",9.11
"1436","KC677635",964,"FET_2.5",10.22
"1437","KC677635",972,"FET_2.5",14.53
"1438","KC677635",1003,"FET_2.5",16.65
"1439","KC677635",1013,"FET_2.5",0
"1440","KC677635",1046,"FET_2.5",0.47
"1441","KC677635",1047,"FET_2.5",0.471
"1442","KC677635",1079,"FET_2.5",18.15
"1443","KC677635",1082,"FET_2.5",0
"1444","KC677635",1087,"FET_2.5",0
"1445","KC677635",1150,"FET_2.5",10.97
"1446","KC677635",1160,"FET_2.5",14.94
"1447","KC677635",1179,"FET_2.5",14.28
"1448","KC677635",1205,"FET_2.5",13
"1449","KC677635",1220,"FET_2.5",2.595
"1450","KC677635",1245,"FET_2.5",8.126
"1451","KC677635",1259,"FET_2.5",10.67
"1452","KC677635",1284,"FET_2.5",8.697
"1453","KC677635",1304,"FET_2.5",5.213
"1454","KC677635",1356,"FET_2.5",6.962
"1455","KC677635",1501,"FET_2.5",0.615
"1456","KC677635",1528,"FET_2.5",3.057
"1457","KC677635",1580,"FET_2.5",4.842
"1458","KC677635",1624,"FET_2.5",5.279
"1459","KC677635",1661,"FET_2.5",4.855
"1460","KC677635",1677,"FET_2.5",0
"1461","KC677635",1809,"FET_2.5",7.104
"1462","KC677635",1853,"FET_2.5",5.521
"1463","KC677635",1868,"FET_2.5",2.254
"1464","KC677635",1918,"FET_2.5",10.03
"1465","KC677635",1936,"FET_2.5",6.578
"1466","KC677635",1948,"FET_2.5",9.088
"1467","KC677635",2048,"FET_2.5",3.511
"1468","KC677635",2060,"FET_2.5",0
"1469","KC677635",2070,"FET_2.5",4.385
"1470","KC677635",2073,"FET_2.5",0.761
"1471","KC677635",2119,"FET_2.5",1.913
"1472","KC677635",2120,"FET_2.5",7.428
"1473","KC677635",2143,"FET_2.5",3.951
"1474","KC677635",2173,"FET_2.5",11.72
"1475","KC677635",2234,"FET_2.5",0
"1476","KC677635",2254,"FET_2.5",0.872
"1477","KC677635",2270,"FET_2.5",3.893
"1478","KC677635",2295,"FET_2.5",0
"1479","KC677635",2323,"FET_2.5",0
"1480","KC677635",2329,"FET_2.5",2.058
"1481","KC677635",2337,"FET_2.5",8.162
"1482","KC677635",2348,"FET_2.5",20.19
"1483","KC677635",2359,"FET_2.5",0
"1484","KC677635",2384,"FET_2.5",17.84
"1485","KC677635",2393,"FET_2.5",0
"1486","KC677635",2432,"FET_2.5",0
"1487","KC677635",2442,"FET_2.5",0
"1488","KC677635",2483,"FET_2.5",4.443
"1489","KC677635",2487,"FET_2.5",5.429
"1490","KC677635",2493,"FET_2.5",0
"1491","KC677635",2528,"FET_2.5",1.807
"1492","KC677635",2542,"FET_2.5",2.347
"1493","KC677635",2547,"FET_2.5",0
"1494","KC677635",2550,"FET_2.5",0
"1495","KC677635",2578,"FET_2.5",2.198
"1496","KC677635",2587,"FET_2.5",0
"1497","KC677635",2593,"FET_2.5",0.646
"1498","KC677635",2644,"FET_2.5",0
"1499","KC677635",2698,"FET_2.5",0
"1500","KC677635",2735,"FET_2.5",8.675
"1501","KC677636",127,"FET_2.5",4.009
"1502","KC677636",132,"FET_2.5",4.528
"1503","KC677636",162,"FET_2.5",8.381
"1504","KC677636",194,"FET_2.5",0
"1505","KC677636",202,"FET_2.5",0
"1506","KC677636",507,"FET_2.5",0
"1507","KC677636",598,"FET_2.5",0
"1508","KC677636",639,"FET_2.5",0
"1509","KC677636",642,"FET_2.5",0.922
"1510","KC677636",712,"FET_2.5",0
"1511","KC677636",756,"FET_2.5",0
"1512","KC677636",834,"FET_2.5",0
"1513","KC677636",1088,"FET_2.5",0
"1514","KC677636",1231,"FET_2.5",0.587
"1515","KC677636",1235,"FET_2.5",3.085
"1516","KC677636",1274,"FET_2.5",0
"1517","KC677636",1442,"FET_2.5",0
"1518","KC677636",1460,"FET_2.5",0
"1519","KC677636",1503,"FET_2.5",0
"1520","KC677636",1557,"FET_2.5",3.809
"1521","KC677636",1711,"FET_2.5",0
"1522","KC677636",1807,"FET_2.5",0
"1523","KC677636",1847,"FET_2.5",0
"1524","KC677636",1896,"FET_2.5",0
"1525","KC677637",322,"FET_2.5",1.154
"1526","KC677637",327,"FET_2.5",4.452
"1527","KC677637",389,"FET_2.5",6.226
"1528","KC677637",600,"FET_2.5",0
"1529","KC677637",607,"FET_2.5",2.904
"1530","KC677637",750,"FET_2.5",0
"1531","KC677637",760,"FET_2.5",30.48
"1532","KC677637",768,"FET_2.5",1.322
"1533","KC677637",772,"FET_2.5",0.808
"1534","KC677637",796,"FET_2.5",0.988
"1535","KC677637",811,"FET_2.5",24.99
"1536","KC677637",833,"FET_2.5",0
"1537","KC677637",836,"FET_2.5",2.705
"1538","KC677637",887,"FET_2.5",8.91
"1539","KC677637",937,"FET_2.5",3.662
"1540","KC677637",1007,"FET_2.5",48.34
"1541","KC677637",1022,"FET_2.5",0
"1542","KC677637",1035,"FET_2.5",0.956
"1543","KC677637",1075,"FET_2.5",1.48
"1544","KC677637",1097,"FET_2.5",0
"1545","KC677637",1103,"FET_2.5",0
"1546","KC677637",1104,"FET_2.5",0.523
"1547","KC677637",1134,"FET_2.5",0
"1548","KC677637",1141,"FET_2.5",86.84
"1549","KC677637",1150,"FET_2.5",0.433
"1550","KC677637",1161,"FET_2.5",0
"1551","KC677637",1170,"FET_2.5",118
"1552","KC677637",1186,"FET_2.5",0.903
"1553","KC677637",1187,"FET_2.5",0
"1554","KC677637",1202,"FET_2.5",0
"1555","KC677637",1230,"FET_2.5",0
"1556","KC677637",1232,"FET_2.5",96.48
"1557","KC677637",1239,"FET_2.5",1.366
"1558","KC677637",1249,"FET_2.5",0
"1559","KC677637",1250,"FET_2.5",92.75
"1560","KC677637",1258,"FET_2.5",0
"1561","KC677637",1259,"FET_2.5",0
"1562","KC677637",1267,"FET_2.5",57.84
"1563","KC677637",1270,"FET_2.5",0
"1564","KC677637",1282,"FET_2.5",0
"1565","KC677637",1296,"FET_2.5",1.433
"1566","KC677637",1300,"FET_2.5",2.032
"1567","KC677637",1302,"FET_2.5",0
"1568","KC677637",1303,"FET_2.5",0
"1569","KC677637",1315,"FET_2.5",0
"1570","KC677637",1318,"FET_2.5",0
"1571","KC677637",1326,"FET_2.5",0.596
"1572","KC677637",1328,"FET_2.5",0
"1573","KC677637",1337,"FET_2.5",6.844
"1574","KC677637",1338,"FET_2.5",2.22
"1575","KC677637",1339,"FET_2.5",0
"1576","KC677637",1346,"FET_2.5",3.296
"1577","KC677637",1365,"FET_2.5",0
"1578","KC677637",1376,"FET_2.5",11.56
"1579","KC677637",1444,"FET_2.5",20.57
"1580","KC677637",1494,"FET_2.5",2.563
"1581","KC677637",1561,"FET_2.5",5.558
"1582","KC677637",1571,"FET_2.5",9.265
"1583","KC677637",1628,"FET_2.5",0
"1584","KC677637",1641,"FET_2.5",27.29
"1585","KC677637",1688,"FET_2.5",32.13
"1586","KC677637",1703,"FET_2.5",31.1
"1587","KC677637",1706,"FET_2.5",31.35
"1588","KC677637",1729,"FET_2.5",20.41
"1589","KC677637",1783,"FET_2.5",26.5
"1590","KC677637",1790,"FET_2.5",25.47
"1591","KC677637",1792,"FET_2.5",22.66
"1592","KC677637",1806,"FET_2.5",3.984
"1593","KC677637",1813,"FET_2.5",0
"1594","KC677638",124,"FET_2.5",1.027
"1595","KC677638",141,"FET_2.5",0
"1596","KC677638",148,"FET_2.5",0
"1597","KC677638",174,"FET_2.5",0.261
"1598","KC677638",204,"FET_2.5",1.276
"1599","KC677638",257,"FET_2.5",2.664
"1600","KC677638",308,"FET_2.5",0
"1601","KC677638",330,"FET_2.5",0
"1602","KC677638",455,"FET_2.5",0
"1603","KC677638",459,"FET_2.5",2.083
"1604","KC677638",467,"FET_2.5",0
"1605","KC677638",508,"FET_2.5",2.096
"1606","KC677638",509,"FET_2.5",1.781
"1607","KC677638",575,"FET_2.5",0
"1608","KC677638",616,"FET_2.5",0.581
"1609","KC677638",631,"FET_2.5",0.751
"1610","KC677638",632,"FET_2.5",0
"1611","KC677638",636,"FET_2.5",0.524
"1612","KC677638",718,"FET_2.5",0.438
"1613","KC677638",723,"FET_2.5",2.216
"1614","KC677638",813,"FET_2.5",0
"1615","KC677638",840,"FET_2.5",3.398
"1616","KC677638",855,"FET_2.5",0
"1617","KC677638",902,"FET_2.5",0
"1618","KC677638",904,"FET_2.5",0
"1619","KC677638",955,"FET_2.5",0
"1620","KC677638",978,"FET_2.5",0
"1621","KC677638",997,"FET_2.5",2.092
"1622","KC677638",1012,"FET_2.5",0
"1623","KC677638",1023,"FET_2.5",0
"1624","KC677638",1058,"FET_2.5",1.726
"1625","KC677638",1124,"FET_2.5",0
"1626","KC677638",1194,"FET_2.5",0
"1627","KC677638",1310,"FET_2.5",0
"1628","KC677638",1330,"FET_2.5",0
"1629","KC677638",1339,"FET_2.5",0
"1630","KC677638",1342,"FET_2.5",0.436
"1631","KC677638",1345,"FET_2.5",2.808
"1632","KC677639",135,"FET_2.5",1.864
"1633","KC677639",201,"FET_2.5",0
"1634","KC677639",210,"FET_2.5",0
"1635","KC677639",222,"FET_2.5",0
"1636","KC677639",239,"FET_2.5",0
"1637","KC677639",252,"FET_2.5",1.286
"1638","KC677639",312,"FET_2.5",0
"1639","KC677639",359,"FET_2.5",0
"1640","KC677639",369,"FET_2.5",0
"1641","KC677639",414,"FET_2.5",0
"1642","KC677639",418,"FET_2.5",2.65
"1643","KC677639",419,"FET_2.5",2.826
"1644","KC677639",427,"FET_2.5",0
"1645","KC677639",432,"FET_2.5",0
"1646","KC677639",486,"FET_2.5",2.111
"1647","KC677639",504,"FET_2.5",0
"1648","KC677639",543,"FET_2.5",0
"1649","KC677639",649,"FET_2.5",0
"1650","KC677639",659,"FET_2.5",0
"1651","KC677639",692,"FET_2.5",0
"1652","KC677639",781,"FET_2.5",1.141
"1653","KC677639",795,"FET_2.5",0.917
"1654","KC677639",797,"FET_2.5",0
"1655","KC677639",882,"FET_2.5",0.562
"1656","KC677640",41,"FET_2.5",0
"1657","KC677640",67,"FET_2.5",0
"1658","KC677640",89,"FET_2.5",0
"1659","KC677640",160,"FET_2.5",0.664
"1660","KC677640",183,"FET_2.5",0
"1661","KC677640",186,"FET_2.5",0.872
"1662","KC677640",229,"FET_2.5",0
"1663","KC677640",230,"FET_2.5",0
"1664","KC677640",242,"FET_2.5",1.103
"1665","KC677640",371,"FET_2.5",3.439
"1666","KC677640",411,"FET_2.5",10.68
"1667","KC677640",441,"FET_2.5",0
"1668","KC677640",461,"FET_2.5",0.697
"1669","KC677640",462,"FET_2.5",0.265
"1670","KC677640",473,"FET_2.5",0
"1671","KC677640",483,"FET_2.5",0.692
"1672","KC677640",495,"FET_2.5",0
"1673","KC677640",496,"FET_2.5",0.235
"1674","KC677640",538,"FET_2.5",2.909
"1675","KC677640",551,"FET_2.5",0.23
"1676","KC677640",562,"FET_2.5",0
"1677","KC677640",575,"FET_2.5",0.234
"1678","KC677631",191,"FET_2.6",0.373
"1679","KC677631",309,"FET_2.6",0
"1680","KC677631",373,"FET_2.6",0.516
"1681","KC677631",432,"FET_2.6",1.002
"1682","KC677631",456,"FET_2.6",0
"1683","KC677631",485,"FET_2.6",0
"1684","KC677631",510,"FET_2.6",2.199
"1685","KC677631",514,"FET_2.6",2.066
"1686","KC677631",516,"FET_2.6",0
"1687","KC677631",554,"FET_2.6",3.296
"1688","KC677631",560,"FET_2.6",0
"1689","KC677631",565,"FET_2.6",0
"1690","KC677631",671,"FET_2.6",15.36
"1691","KC677631",733,"FET_2.6",2.394
"1692","KC677631",765,"FET_2.6",20.31
"1693","KC677631",787,"FET_2.6",0.841
"1694","KC677631",801,"FET_2.6",0
"1695","KC677631",810,"FET_2.6",20.72
"1696","KC677631",850,"FET_2.6",0
"1697","KC677631",859,"FET_2.6",0
"1698","KC677631",890,"FET_2.6",0
"1699","KC677631",892,"FET_2.6",0
"1700","KC677631",897,"FET_2.6",0
"1701","KC677631",934,"FET_2.6",0
"1702","KC677631",997,"FET_2.6",1.212
"1703","KC677631",998,"FET_2.6",0
"1704","KC677631",1009,"FET_2.6",1.374
"1705","KC677631",1011,"FET_2.6",0
"1706","KC677631",1024,"FET_2.6",1.166
"1707","KC677631",1032,"FET_2.6",2.568
"1708","KC677631",1037,"FET_2.6",0
"1709","KC677631",1063,"FET_2.6",0
"1710","KC677631",1065,"FET_2.6",0.171
"1711","KC677631",1082,"FET_2.6",0
"1712","KC677631",1095,"FET_2.6",0.164
"1713","KC677631",1121,"FET_2.6",0
"1714","KC677631",1154,"FET_2.6",0
"1715","KC677631",1196,"FET_2.6",0
"1716","KC677631",1201,"FET_2.6",2.283
"1717","KC677631",1249,"FET_2.6",0
"1718","KC677631",1260,"FET_2.6",0
"1719","KC677631",1272,"FET_2.6",0.249
"1720","KC677631",1275,"FET_2.6",0
"1721","KC677631",1296,"FET_2.6",0
"1722","KC677631",1301,"FET_2.6",0
"1723","KC677631",1356,"FET_2.6",2.542
"1724","KC677631",1398,"FET_2.6",0
"1725","KC677631",1433,"FET_2.6",1.854
"1726","KC677631",1476,"FET_2.6",0
"1727","KC677631",1533,"FET_2.6",0
"1728","KC677631",1551,"FET_2.6",0
"1729","KC677631",1555,"FET_2.6",0
"1730","KC677631",1561,"FET_2.6",0.636
"1731","KC677631",1566,"FET_2.6",5.17
"1732","KC677631",1582,"FET_2.6",0
"1733","KC677631",1652,"FET_2.6",0
"1734","KC677631",1671,"FET_2.6",0
"1735","KC677631",1701,"FET_2.6",0.245
"1736","KC677631",1708,"FET_2.6",0
"1737","KC677631",1790,"FET_2.6",0
"1738","KC677631",1792,"FET_2.6",0
"1739","KC677631",1797,"FET_2.6",0
"1740","KC677631",1819,"FET_2.6",0
"1741","KC677631",1827,"FET_2.6",0
"1742","KC677631",1881,"FET_2.6",0
"1743","KC677631",1897,"FET_2.6",0
"1744","KC677631",1899,"FET_2.6",0
"1745","KC677631",1912,"FET_2.6",0
"1746","KC677631",1914,"FET_2.6",0.486
"1747","KC677631",1921,"FET_2.6",0
"1748","KC677631",1922,"FET_2.6",0.251
"1749","KC677631",1933,"FET_2.6",0
"1750","KC677631",2071,"FET_2.6",0
"1751","KC677631",2109,"FET_2.6",0
"1752","KC677631",2111,"FET_2.6",0
"1753","KC677631",2126,"FET_2.6",0
"1754","KC677631",2144,"FET_2.6",1.134
"1755","KC677631",2225,"FET_2.6",0
"1756","KC677631",2240,"FET_2.6",0
"1757","KC677631",2292,"FET_2.6",0.735
"1758","KC677631",2314,"FET_2.6",0.679
"1759","KC677631",2329,"FET_2.6",0
"1760","KC677631",2340,"FET_2.6",1.176
"1761","KC677631",2439,"FET_2.6",0
"1762","KC677631",2514,"FET_2.6",0
"1763","KC677631",2561,"FET_2.6",1.21
"1764","KC677631",2565,"FET_2.6",0
"1765","KC677631",2601,"FET_2.6",0
"1766","KC677631",2608,"FET_2.6",0
"1767","KC677631",2648,"FET_2.6",0
"1768","KC677631",2665,"FET_2.6",0
"1769","KC677631",2762,"FET_2.6",0
"1770","KC677631",2781,"FET_2.6",0
"1771","KC677631",2788,"FET_2.6",0
"1772","KC677631",2796,"FET_2.6",0
"1773","KC677631",2855,"FET_2.6",0
"1774","KC677631",2862,"FET_2.6",0.226
"1775","KC677631",2868,"FET_2.6",0
"1776","KC677631",2955,"FET_2.6",0
"1777","KC677631",2976,"FET_2.6",4.337
"1778","KC677631",2979,"FET_2.6",0
"1779","KC677631",2986,"FET_2.6",0
"1780","KC677631",2990,"FET_2.6",0
"1781","KC677631",3000,"FET_2.6",0.38
"1782","KC677631",3017,"FET_2.6",0.239
"1783","KC677631",3057,"FET_2.6",0.227
"1784","KC677631",3068,"FET_2.6",0
"1785","KC677631",3080,"FET_2.6",0
"1786","KC677631",3110,"FET_2.6",3.638
"1787","KC677631",3136,"FET_2.6",0
"1788","KC677631",3204,"FET_2.6",0
"1789","KC677631",3214,"FET_2.6",0
"1790","KC677631",3230,"FET_2.6",0.707
"1791","KC677631",3246,"FET_2.6",0
"1792","KC677631",3305,"FET_2.6",0.252
"1793","KC677632",97,"FET_2.6",2.412
"1794","KC677632",186,"FET_2.6",0.765
"1795","KC677632",202,"FET_2.6",1.419
"1796","KC677632",215,"FET_2.6",0.228
"1797","KC677632",283,"FET_2.6",0
"1798","KC677632",328,"FET_2.6",0.341
"1799","KC677632",374,"FET_2.6",4.359
"1800","KC677632",465,"FET_2.6",0
"1801","KC677632",471,"FET_2.6",0
"1802","KC677632",510,"FET_2.6",1.425
"1803","KC677632",524,"FET_2.6",0
"1804","KC677632",559,"FET_2.6",0
"1805","KC677632",589,"FET_2.6",0
"1806","KC677632",608,"FET_2.6",2.596
"1807","KC677632",617,"FET_2.6",3.117
"1808","KC677632",640,"FET_2.6",0
"1809","KC677632",675,"FET_2.6",0
"1810","KC677632",680,"FET_2.6",1.595
"1811","KC677632",707,"FET_2.6",1.898
"1812","KC677632",717,"FET_2.6",29.54
"1813","KC677632",759,"FET_2.6",1.162
"1814","KC677632",760,"FET_2.6",0.876
"1815","KC677632",912,"FET_2.6",1.14
"1816","KC677632",917,"FET_2.6",8.851
"1817","KC677632",1042,"FET_2.6",0.542
"1818","KC677632",1136,"FET_2.6",1.054
"1819","KC677632",1286,"FET_2.6",0
"1820","KC677632",1306,"FET_2.6",0
"1821","KC677632",1312,"FET_2.6",2.779
"1822","KC677632",1464,"FET_2.6",11.41
"1823","KC677632",1554,"FET_2.6",1.304
"1824","KC677632",1555,"FET_2.6",0
"1825","KC677632",1559,"FET_2.6",0
"1826","KC677632",1702,"FET_2.6",0.305
"1827","KC677632",1713,"FET_2.6",1.979
"1828","KC677632",1721,"FET_2.6",0.347
"1829","KC677632",1723,"FET_2.6",0
"1830","KC677632",1763,"FET_2.6",1.626
"1831","KC677632",1771,"FET_2.6",0
"1832","KC677632",1797,"FET_2.6",0
"1833","KC677632",1815,"FET_2.6",0
"1834","KC677632",1842,"FET_2.6",0.231
"1835","KC677632",1875,"FET_2.6",0
"1836","KC677632",1879,"FET_2.6",0
"1837","KC677632",1901,"FET_2.6",1.727
"1838","KC677632",1924,"FET_2.6",0
"1839","KC677632",1934,"FET_2.6",0
"1840","KC677632",1941,"FET_2.6",0
"1841","KC677632",1956,"FET_2.6",2.28
"1842","KC677632",2014,"FET_2.6",0.508
"1843","KC677632",2038,"FET_2.6",0
"1844","KC677632",2110,"FET_2.6",1.357
"1845","KC677633",25,"FET_2.6",0.259
"1846","KC677633",53,"FET_2.6",18.13
"1847","KC677633",54,"FET_2.6",17.8
"1848","KC677633",120,"FET_2.6",0
"1849","KC677633",123,"FET_2.6",2.684
"1850","KC677633",139,"FET_2.6",0.546
"1851","KC677633",148,"FET_2.6",1.18
"1852","KC677633",167,"FET_2.6",10.99
"1853","KC677633",168,"FET_2.6",0.184
"1854","KC677633",171,"FET_2.6",0
"1855","KC677633",172,"FET_2.6",0
"1856","KC677633",181,"FET_2.6",0
"1857","KC677633",195,"FET_2.6",4.066
"1858","KC677633",208,"FET_2.6",0.803
"1859","KC677633",227,"FET_2.6",1.28
"1860","KC677633",233,"FET_2.6",0.518
"1861","KC677633",248,"FET_2.6",2.028
"1862","KC677633",256,"FET_2.6",0
"1863","KC677633",259,"FET_2.6",0
"1864","KC677633",319,"FET_2.6",0
"1865","KC677633",331,"FET_2.6",0
"1866","KC677633",370,"FET_2.6",0.78
"1867","KC677633",378,"FET_2.6",0
"1868","KC677633",382,"FET_2.6",0.518
"1869","KC677633",383,"FET_2.6",0
"1870","KC677633",401,"FET_2.6",0
"1871","KC677633",515,"FET_2.6",3.854
"1872","KC677633",522,"FET_2.6",0.603
"1873","KC677633",593,"FET_2.6",1.531
"1874","KC677633",603,"FET_2.6",0
"1875","KC677633",605,"FET_2.6",3.539
"1876","KC677633",639,"FET_2.6",3.787
"1877","KC677633",676,"FET_2.6",1.817
"1878","KC677633",684,"FET_2.6",2.543
"1879","KC677633",687,"FET_2.6",0
"1880","KC677633",726,"FET_2.6",5.189
"1881","KC677633",727,"FET_2.6",2.162
"1882","KC677633",824,"FET_2.6",6.165
"1883","KC677633",877,"FET_2.6",17.53
"1884","KC677633",900,"FET_2.6",0
"1885","KC677633",904,"FET_2.6",6.808
"1886","KC677633",909,"FET_2.6",1.765
"1887","KC677633",916,"FET_2.6",4.043
"1888","KC677633",974,"FET_2.6",3.15
"1889","KC677633",981,"FET_2.6",2.495
"1890","KC677633",1009,"FET_2.6",3.149
"1891","KC677633",1023,"FET_2.6",0
"1892","KC677633",1073,"FET_2.6",4.969
"1893","KC677633",1115,"FET_2.6",5.055
"1894","KC677633",1195,"FET_2.6",1.746
"1895","KC677633",1214,"FET_2.6",2.892
"1896","KC677633",1227,"FET_2.6",2.385
"1897","KC677633",1228,"FET_2.6",2.404
"1898","KC677633",1364,"FET_2.6",1.663
"1899","KC677633",1374,"FET_2.6",8.762
"1900","KC677633",1383,"FET_2.6",1.993
"1901","KC677633",1416,"FET_2.6",10.17
"1902","KC677633",1423,"FET_2.6",1.071
"1903","KC677633",1430,"FET_2.6",4.11
"1904","KC677633",1443,"FET_2.6",0.521
"1905","KC677633",1466,"FET_2.6",0.186
"1906","KC677633",1492,"FET_2.6",0
"1907","KC677633",1498,"FET_2.6",0
"1908","KC677633",1512,"FET_2.6",0.113
"1909","KC677633",1517,"FET_2.6",0
"1910","KC677633",1520,"FET_2.6",0
"1911","KC677633",1544,"FET_2.6",0
"1912","KC677633",1545,"FET_2.6",0.3
"1913","KC677633",1551,"FET_2.6",0
"1914","KC677633",1590,"FET_2.6",0.242
"1915","KC677633",1604,"FET_2.6",0
"1916","KC677633",1616,"FET_2.6",0
"1917","KC677633",1624,"FET_2.6",1.552
"1918","KC677633",1635,"FET_2.6",0
"1919","KC677633",1694,"FET_2.6",0
"1920","KC677633",1700,"FET_2.6",1.266
"1921","KC677633",1701,"FET_2.6",0.53
"1922","KC677633",1756,"FET_2.6",1.773
"1923","KC677633",1757,"FET_2.6",0
"1924","KC677633",1761,"FET_2.6",0.712
"1925","KC677633",1901,"FET_2.6",0
"1926","KC677634",88,"FET_2.6",0
"1927","KC677634",102,"FET_2.6",0.322
"1928","KC677634",122,"FET_2.6",3.052
"1929","KC677634",216,"FET_2.6",0
"1930","KC677634",234,"FET_2.6",0
"1931","KC677634",236,"FET_2.6",0.72
"1932","KC677634",256,"FET_2.6",0.89
"1933","KC677634",298,"FET_2.6",2.24
"1934","KC677634",325,"FET_2.6",10.7
"1935","KC677634",345,"FET_2.6",0
"1936","KC677634",361,"FET_2.6",2.168
"1937","KC677634",366,"FET_2.6",0.492
"1938","KC677634",369,"FET_2.6",0
"1939","KC677634",394,"FET_2.6",0
"1940","KC677634",400,"FET_2.6",0.345
"1941","KC677634",405,"FET_2.6",0
"1942","KC677634",412,"FET_2.6",0
"1943","KC677634",429,"FET_2.6",0
"1944","KC677634",443,"FET_2.6",0
"1945","KC677634",459,"FET_2.6",0.384
"1946","KC677634",460,"FET_2.6",0
"1947","KC677634",491,"FET_2.6",0
